2025-08-12 13:02:36 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:36 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:37 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:38 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:38 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:39 | ERROR | Error getting seller details with requests: 'MadeInChinaScraper' object has no attribute '_extract_rating'
2025-08-12 13:02:39 | INFO | Page 5: Found 30 listings
2025-08-12 13:02:41 | INFO | Found 132 listings for 'hair dryer'
2025-08-12 13:02:41 | INFO | Saved JSON file: data\search_hair dryer_20250812_130241.json
2025-08-12 13:02:41 | INFO | Saved CSV file: data\search_hair dryer_20250812_130241.csv
2025-08-12 13:02:41 | INFO | Saved search results for keyword: hair dryer
2025-08-12 13:04:53 | INFO | Database initialized successfully
2025-08-12 13:04:53 | INFO | Starting search for keyword: hair dryer
2025-08-12 13:04:53 | INFO | Searching for keyword: hair dryer
2025-08-12 13:04:56 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:05:42 | INFO | Page 1: Found 30 listings
2025-08-12 13:05:45 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:06:23 | INFO | Page 2: Found 30 listings
2025-08-12 13:06:26 | INFO | Found 12 products with selector: .products-item
2025-08-12 13:06:38 | INFO | Page 3: Found 12 listings
2025-08-12 13:06:40 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:07:20 | INFO | Page 4: Found 30 listings
2025-08-12 13:07:22 | INFO | Found 30 products with selector: .products-item
2025-08-12 13:08:04 | INFO | Page 5: Found 30 listings
2025-08-12 13:08:06 | INFO | Found 132 listings for 'hair dryer'
2025-08-12 13:08:06 | INFO | Saved JSON file: data\search_hair dryer_20250812_130806.json
